id	weight	question	name
101	1	Magyarországnak ki kellene lépnie az Európai Unióból.	Magyarországnak ki kellene lépnie az Európai Unióból.
102	2	Magyarországnak NATO-tagnak kellene maradnia.	Magyarországnak NATO-tagnak kellene maradnia.
103	3	A keleti partnerség fontosabb a nyugati országokkal való együttműködésnél.	A keleti partnerség fontosabb a nyugati országokkal való együttműködésnél.
104	4	A határon túli magyarok szavazati jogát fenn kell tartani.	A határon túli magyarok szavazati jogát fenn kell tartani.
105	5	Magyarországon a munkahelyteremtés érdekében a külföldi befektetők számára kedvező gazdasági környezet kialakítására van szükség.	Magyarországon a munkahelyteremtés érdekében a külföldi befektetők számára kedvező gazdasági környezet kialakítására van szükség.
106	6	A multinacionális cégek piaci részesedését csökkenteni kell a gazdaságban.	A multinacionális cégek piaci részesedését csökkenteni kell a gazdaságban.
107	7	A külföldiek földvásárlását továbbra is meg kellene tiltani Magyarországon.	A külföldiek földvásárlását továbbra is meg kellene tiltani Magyarországon.
108	8	Magyarországnak el kell halasztania az euró bevezetését.	Magyarországnak el kell halasztania az euró bevezetését.
109	9	Rezsicsökkentés helyett az energiatakarékosságot, szigetelést kellene elsősorban támogatni.	Rezsicsökkentés helyett az energiatakarékosságot, szigetelést kellene elsősorban támogatni.
110	10	Túl sok az ügydöntő népszavazás kiírásához szükséges 200 ezer aláírás, könnyíteni kellene a feltételeken.	Túl sok az ügydöntő népszavazás kiírásához szükséges 200 ezer aláírás, könnyíteni kellene a feltételeken.
111	11	Magyarország jelenlegi Alaptörvényét meg kell tartani.	Magyarország jelenlegi Alaptörvényét meg kell tartani.
112	12	Az Alkotmánybíróság jogköreit vissza kellene állítani a 2010 előtti szintre.	Az Alkotmánybíróság jogköreit vissza kellene állítani a 2010 előtti szintre.
113	13	A kormányzatot vagy pártokat ellenőrző intézmények (ügyészség, médiát felügyelő testület, Állami Számvevőszék, Alkotmánybíróság) elnökét és vezető tisztségviselőit kizárólag pártok közötti konszenzussal lehessen megválasztani.	A kormányzatot vagy pártokat ellenőrző intézmények (ügyészség, médiát felügyelő testület, Állami Számvevőszék, Alkotmánybíróság) elnökét és vezető tisztségviselőit kizárólag pártok közötti konszenzussal lehessen megválasztani.
114	14	A jelenlegi választási rendszer garancia a szabad országgyűlési választások lebonyolítására.	A jelenlegi választási rendszer garancia a szabad országgyűlési választások lebonyolítására.
115	15	Magyarországon jelenleg szabad a sajtó és a média.	Magyarországon jelenleg szabad a sajtó és a média.
116	16	A jó vezető fontosabb, mint a demokratikus intézményrendszer minősége.	A jó vezető fontosabb, mint a demokratikus intézményrendszer minősége.
117	17	Az egykulcsos adót meg kellene tartani, nincs szükség többkulcsos jövedelemadóra.	Az egykulcsos adót meg kellene tartani, nincs szükség többkulcsos jövedelemadóra.
118	18	Távlati célként be kellene vezetni a mindenkinek alanyi jogon járó feltétel nélküli alapjövedelmet.	Távlati célként be kellene vezetni a mindenkinek alanyi jogon járó feltétel nélküli alapjövedelmet.
119	19	A felsőoktatásban szükség van tandíjra.	A felsőoktatásban szükség van tandíjra.
120	20	Az egyházak adómentességét fenn kellene tartani a továbbiakban is.	Az egyházak adómentességét fenn kellene tartani a továbbiakban is.
121	21	Törekedni kell arra, hogy minél több szociális ellátás legyen munkához kötve.	Törekedni kell arra, hogy minél több szociális ellátás legyen munkához kötve.
122	22	A közmunkaprogram megfelelő eszköz a szegénység vagy a munkanélküliség enyhítésére.	A közmunkaprogram megfelelő eszköz a szegénység vagy a munkanélküliség enyhítésére.
123	23	A paksi atomerőmű bővítése hibás lépés.	A paksi atomerőmű bővítése hibás lépés.
124	24	A roma származású diákok elkülönített oktatása megengedhető az iskolarendszerben.	A roma származású diákok elkülönített oktatása megengedhető az iskolarendszerben.
125	25	Fenn kell tartani a dohányzás tiltását bizonyos magánintézményekben, kocsmákban, éttermekben	Fenn kell tartani a dohányzás tiltását bizonyos magánintézményekben, kocsmákban, éttermekben
126	26	A magánnyugdíj-pénztárak államosítása helyes döntés volt.	A magánnyugdíj-pénztárak államosítása helyes döntés volt.
127	27	Az Országgyűlésben női kvótát kellene bevezetni.	Az Országgyűlésben női kvótát kellene bevezetni.
128	28	Az egynemű pártokat azonos jogok kell, hogy megillessék, mint a férfi-nő párokat.	Az egynemű pártokat azonos jogok kell, hogy megillessék, mint a férfi-nő párokat.
129	29	Bizonyos védőoltásokat kötelezővé kellene tenni mindenki számára.	Bizonyos védőoltásokat kötelezővé kellene tenni mindenki számára.
130	30	A marihuána-fogyasztás büntethetőségét fenn kell tartani.	A marihuána-fogyasztás büntethetőségét fenn kell tartani.
131	31	Az abortusz szabályozását szigorítani kellene Magyarországon.	Az abortusz szabályozását szigorítani kellene Magyarországon.
132	32	A közterületen való életvitelszerű tartózkodás büntethetőségét meg kellene szüntetni.	A közterületen való életvitelszerű tartózkodás büntethetőségét meg kellene szüntetni.
133	33	A vallás- és erkölcstan kötelező oktatását fenn kellene tartani.	A vallás- és erkölcstan kötelező oktatását fenn kellene tartani.
134	34	Létezik olyan, hogy etnikai bűnözés.	Létezik olyan, hogy etnikai bűnözés.
135	35	Magas pénzbírsággal kellene büntetni azokat a munkaadókat, akik kevesebb fizetést adnak hasonló beosztásban dolgozó nőknek, mint férfiaknak.	Magas pénzbírsággal kellene büntetni azokat a munkaadókat, akik kevesebb fizetést adnak hasonló beosztásban dolgozó nőknek, mint férfiaknak.
136	36	A Corvinus Egyetem aulájából a Marx-szobrot el kellene távolítani.	A Corvinus Egyetem aulájából a Marx-szobrot el kellene távolítani.
137	37	A Szabadság téren a német megszállás emlékművét a jelenlegi terveknek megfelelően kell felállítani.	A Szabadság téren a német megszállás emlékművét a jelenlegi terveknek megfelelően kell felállítani.
138	38	A stratégiai jelentőségű vállalatokat állami tulajdonba kell venni.	A stratégiai jelentőségű vállalatokat állami tulajdonba kell venni.
139	39	Az álláskeresési járadék (munkanélküli segély) folyósítási idejét 3 hónapról legalább a kétszeresére kellene növelni.	Az álláskeresési járadék (munkanélküli segély) folyósítási idejét 3 hónapról legalább a kétszeresére kellene növelni.
140	40	A mezőgazdaságban támogatni kellene a szövetkezeti rendszer újraépítését.	A mezőgazdaságban támogatni kellene a szövetkezeti rendszer újraépítését.
141	41	A halálbüntetést vissza kellene állítani Magyarországon.	A halálbüntetést vissza kellene állítani Magyarországon.
142	42	A képviselők vagyonnyilatkozata mellett a vele egy háztartásban élők vagyonnyilatkozatát is nyilvánosságra kell hozni.	A képviselők vagyonnyilatkozata mellett a vele egy háztartásban élők vagyonnyilatkozatát is nyilvánosságra kell hozni.
143	43	Minden, az állam által kötött - nem szigorúan nemzetbiztonsági szempontból kockázatos – szerződés csak azt követően legyen érvényes, hogy nyilvánosságra hozták.	Minden, az állam által kötött - nem szigorúan nemzetbiztonsági szempontból kockázatos – szerződés csak azt követően legyen érvényes, hogy nyilvánosságra hozták.
144	44	Az iskolák és egészségügyi intézményeket az önkormányzatoknak kellene üzemeltetniük a központi kormányzat helyett.	Az iskolák és egészségügyi intézményeket az önkormányzatoknak kellene üzemeltetniük a központi kormányzat helyett.
145	45	A rágalmazás büntethetőségét meg kell szüntetni.	A rágalmazás büntethetőségét meg kell szüntetni.
146	46	A hosszabb ideje üresen álló ingatlanokat meg kellene adóztatni.	A hosszabb ideje üresen álló ingatlanokat meg kellene adóztatni.
147	47	A pártoknak nyilvános számlát kellene vezetniük működési kiadásaikról és kampányköltségeikről.	A pártoknak nyilvános számlát kellene vezetniük működési kiadásaikról és kampányköltségeikről.
148	48	Továbbra is dönthessenek arról kórházigazgatók, hogy az orvosok elfogadhatnak-e utólagos hálapénzt.	Továbbra is dönthessenek arról kórházigazgatók, hogy az orvosok elfogadhatnak-e utólagos hálapénzt.
149	49	Törökországnak csatlakoznia kellene az Európai Unióhoz.	Törökországnak csatlakoznia kellene az Európai Unióhoz.
150	50	Az oroszokkal kötött megállapodást a paksi atomerőműről fel kellene mondani.	Az oroszokkal kötött megállapodást a paksi atomerőműről fel kellene mondani.